id,date,latitude,longitude,depth_km,magnitude,location
1,2024-08-31 15:02:45 IST,25.34,94.9,17,2.8,"53km ENE of Shirui, Manipur, India"
2,2024-09-01 10:31:43 IST,24.23,92.45,10,3.0,"34km ESE of Dharmanagar, Tripura, India"
3,2024-09-01 15:38:01 IST,27.36,91.88,5,3.3,"24km S of Tawang, Arunachal Pradesh, India"
4,2024-09-01 18:51:53 IST,26.26,92.4,30,3.6,"58km SW of Tezpur, Assam, India"
5,2024-09-03 08:19:22 IST,26.69,94.3,5,2.3,"11km ESE of Jorhat, Assam, India"
6,2024-09-04 22:40:37 IST,26.5,93.27,50,2.4,"50km ESE of Tezpur, Assam, India"
7,2024-09-05 17:00:59 IST,24.66,94.56,90,3.4,"31km SSE of Ukhrul, Manipur, India"
8,2024-09-08 01:00:44 IST,24.75,94.68,20,3.0,"28km SE of Ukhrul, Manipur, India"
9,2024-09-09 12:52:00 IST,25.87,94.58,31,2.9,"40km SE of Wokha, Nagaland, India"
10,2024-09-10 23:39:40 IST,26.28,92.78,30,2.6,"41km S of Tezpur, Assam, India"
11,2024-09-13 02:57:58 IST,27.65,93.84,5,2.4,"67km NNE of Itanagar, Arunachal Pradesh, India"
12,2024-09-13 20:45:22 IST,26.29,93.58,10,2.6,"44km NNW of Dimapur, Nagaland, India"
13,2024-09-15 00:50:48 IST,25.85,90.84,5,2.7,"73km ENE of Tura, Meghalaya, India"
14,2024-09-15 13:25:31 IST,24.77,95.19,120,3.3,"73km ESE of Ukhrul, Manipur, India"
15,2024-09-16 04:14:20 IST,27.6,92.81,5,3.6,"92km E of Tawang, Arunachal Pradesh, India"
16,2024-09-16 15:44:39 IST,26.66,92.97,5,2.4,"17km E of Tezpur, Assam, India"
17,2024-09-19 16:07:34 IST,25.15,92.39,20,3.3,"67km E of Cherrapunjee, Meghalaya, India"
18,2024-09-20 23:18:16 IST,24.81,94.78,10,3.1,"33km ESE of Ukhrul, Manipur, India"
19,2024-09-21 14:13:01 IST,26.25,93.11,35,2.9,"54km SE of Tezpur, Assam, India"
20,2024-09-22 03:08:07 IST,25.16,92.59,5,2.0,"84km ESE of Shillong, Meghalaya, India"
21,2024-09-23 11:24:00 IST,25.7,93.8,5,2.5,"12km SSE of Chumukedima, Nagaland, India"
22,2024-09-23 22:43:42 IST,25.7,93.14,10,3.3,"62km W of Chumukedima, Nagaland, India"
23,2024-09-24 21:56:07 IST,25.28,94.99,30,3.5,"59km ENE of Shirui, Manipur, India"
24,2024-09-26 16:30:52 IST,26.1,92.54,20,4.4,"66km SSW of Tezpur, Assam, India"
25,2024-09-29 04:12:13 IST,26.54,92.71,25,2.7,"15km SSW of Tezpur, Assam, India"
26,2024-09-30 01:57:06 IST,27.62,89.87,10,2.7,"28km NE of Thimphu, Bhutan"
27,2024-10-03 02:43:30 IST,26.65,92.19,10,2.6,"59km W of Tezpur, Assam, India"
28,2024-10-03 08:08:09 IST,26.45,95.57,120,3.5,"106km E of Mokokchung, Nagaland, India"
29,2024-10-04 07:02:20 IST,24.92,94.39,32,3.3,"9km W of Ukhrul, Manipur, India"
30,2024-10-08 04:19:27 IST,26.64,91.12,2,2.2,"82km NW of Guwahati, Assam, India"
31,2024-10-09 16:29:10 IST,26.44,95.48,105,3.4,"97km E of Mokokchung, Nagaland, India"
32,2024-10-12 04:15:16 IST,26.87,92.57,5,2.7,"32km NW of Tezpur, Assam, India"
33,2024-10-13 00:39:50 IST,28.35,92.22,15,2.8,"92km NNE of Tawang, Arunachal Pradesh, India"
34,2024-10-13 07:47:33 IST,26.77,92.33,11,4.0,"47km WNW of Tezpur, Assam, India"
35,2024-10-13 22:31:54 IST,27.32,91.56,3,3.6,"42km SW of Tawang, Arunachal Pradesh, India"
36,2024-10-14 03:56:22 IST,26.43,92.25,13,2.4,"59km WSW of Tezpur, Assam, India"
37,2024-10-15 02:18:58 IST,26.74,92.11,7,2.7,"68km W of Tezpur, Assam, India"
38,2024-10-16 02:02:29 IST,25.95,91.32,5,2.4,"46km WSW of Guwahati, Assam, India"
39,2024-10-17 06:48:12 IST,24.68,95.15,26,2.6,"73km ESE of Ukhrul, Manipur, India"
40,2024-10-18 00:28:27 IST,25.43,92.9,19,4.1,"95km WSW of Chumukedima, Nagaland, India"
41,2024-10-21 18:35:42 IST,24.9,91.53,26,3.0,"46km SSW of Cherrapunjee, Meghalaya, India"
42,2024-10-28 18:38:36 IST,27.87,94.16,5,4.1,"53km WSW of Basar, Arunachal Pradesh, India"
