district,flood_events,fatalities,injured,displaced
Lakhimpur,209,2669.0,235.0,0.0
Dhemaji,197,2304.0,216.0,0.0
Kamrup,175,2360.0,69.0,3.0
Nagaon,173,2123.0,66.0,3.0
Barpeta,160,2332.0,67.0,0.0
Sonitpur,156,2178.0,75.0,0.0
Darrang,151,2275.0,61.0,2.0
Dibrugarh,150,2353.0,240.0,4.0
Cachar,147,2045.0,208.0,13.0
Goalpara,135,2228.0,63.0,0.0
Baksa,134,1346.0,49.0,4.0
Nalbari,131,2219.0,49.0,0.0
Jorhat,131,2601.0,65.0,0.0
Marigaon,130,1621.0,53.0,0.0
Golaghat,127,1826.0,67.0,0.0
Sivasagar,123,2047.0,69.0,0.0
Dhubri,118,2276.0,60.0,1.0
Karimganj,101,1851.0,67.0,0.0
Kamrup Metro,95,1481.0,61.0,0.0
Chirang,90,1518.0,49.0,1.0
Bongaigaon,84,1746.0,49.0,0.0
Biswanath,82,1501.0,49.0,0.0
Hailakandi,80,1500.0,59.0,0.0
Dima Hasao,75,1135.0,49.0,0.0
Tinsukia,73,1846.0,231.0,0.0
Hojai,72,1382.0,49.0,5.0
Majuli,70,1476.0,49.0,0.0
Karbi Anglong,69,1614.0,60.0,1.0
Kokrajhar,69,1738.0,49.0,1.0
Udalguri,67,1324.0,53.0,3.0
South Salmara Mancachar,46,1255.0,49.0,0.0
Charaideo,33,1369.0,49.0,0.0
Mancachar,19,318.0,8.0,0.0
West Karbi Anglong,19,1139.0,49.0,0.0
14 districts of Assam,1,6.0,0.0,0.0
Dakshina Kannada,1,20.0,0.0,0.0
21 districts of Assam,1,10.0,0.0,0.0
Kokrajhar Darrang,1,0.0,0.0,0.0
Silchar,1,0.0,0.0,0.0
Sivasagar amd Sonitpur,1,47.0,0.0,0.0
South Assam,1,0.0,0.0,0.0
South Salmara Mancachar - Mankachar,1,88.0,0.0,0.0
South Salmara Mancachar- Mankachar,1,81.0,0.0,0.0
